,phenomenon_number,phenomenon_name,phenomenon_type,arg1_premise1,arg1_premise2,arg1_premise3,arg1_conclusion,arg2_premise1,arg2_premise2,arg2_premise3,arg2_conclusion
385,2,Premise Diversity,General,dog,hippopotamus,,mammal,dog,fox,,mammal
386,2,Premise Diversity,General,falcon,canary,,bird,falcon,eagle,,bird
387,2,Premise Diversity,General,peacock,canary,,bird,peacock,swan,,bird
388,2,Premise Diversity,General,llama,rabbit,,mammal,llama,dromedary,,mammal
389,2,Premise Diversity,General,blackbird,stork,,bird,blackbird,sparrow,,bird
390,2,Premise Diversity,General,sheep,hamster,,mammal,sheep,pig,,mammal
391,2,Premise Diversity,General,heron,duck,,bird,heron,stork,,bird
392,2,Premise Diversity,General,anchovy,swordfish,,fish,anchovy,goldfish,,fish
393,2,Premise Diversity,General,beetle,butterfly,,insect,beetle,cockchafer,,insect
394,2,Premise Diversity,General,sheep,rhinoceros,,mammal,sheep,pig,,mammal
395,2,Premise Diversity,General,rhinoceros,beaver,,mammal,rhinoceros,elephant,,mammal
396,2,Premise Diversity,General,carp,dolphin,,fish,carp,stickleback,,fish
397,2,Premise Diversity,General,rooster,canary,,bird,rooster,peacock,,bird
398,2,Premise Diversity,General,bee,wood louse,,insect,bee,wasp,,insect
399,2,Premise Diversity,General,blackbird,pelican,,bird,blackbird,sparrow,,bird
400,3,Conclusion Specificity,General,chickadee,swan,,bird,chickadee,swan,,animal
401,3,Conclusion Specificity,General,owl,peacock,,bird,owl,peacock,,animal
402,3,Conclusion Specificity,General,bee,louse,,insect,bee,louse,,animal
403,3,Conclusion Specificity,General,carp,plaice,,fish,carp,plaice,,animal
404,3,Conclusion Specificity,General,cod,ray,,fish,cod,ray,,animal
405,3,Conclusion Specificity,General,plaice,shark,,fish,plaice,shark,,animal
406,3,Conclusion Specificity,General,spider,moth,,insect,spider,moth,,animal
407,3,Conclusion Specificity,General,caterpillar,butterfly,,insect,caterpillar,butterfly,,animal
408,3,Conclusion Specificity,General,worm,ladybug,,insect,worm,ladybug,,animal
409,3,Conclusion Specificity,General,python,crocodile,,reptile,python,crocodile,,animal
410,3,Conclusion Specificity,General,frog,python,,reptile,frog,python,,animal
411,3,Conclusion Specificity,General,cuckoo,stork,,bird,cuckoo,stork,,animal
412,3,Conclusion Specificity,General,llama,dog,,mammal,llama,dog,,animal
413,3,Conclusion Specificity,General,caterpillar,grasshopper,,insect,caterpillar,grasshopper,,animal
414,3,Conclusion Specificity,General,sardine,sole,,fish,sardine,sole,,animal
415,3,Conclusion Specificity,General,fruit fly,caterpillar,,insect,fruit fly,caterpillar,,animal
416,3,Conclusion Specificity,General,fox,donkey,,mammal,fox,donkey,,animal
417,3,Conclusion Specificity,General,tortoise,dinosaur,,reptile,tortoise,dinosaur,,animal
418,3,Conclusion Specificity,General,flatfish,ray,,fish,flatfish,ray,,animal
419,3,Conclusion Specificity,General,carp,herring,,fish,carp,herring,,animal
420,3,Conclusion Specificity,General,python,cobra,,reptile,python,cobra,,animal
421,3,Conclusion Specificity,General,cobra,dinosaur,,reptile,cobra,dinosaur,,animal
422,3,Conclusion Specificity,General,chickadee,seagull,,bird,chickadee,seagull,,animal
423,3,Conclusion Specificity,General,spider,leech,,insect,spider,leech,,animal
424,3,Conclusion Specificity,General,cow,tiger,,mammal,cow,tiger,,animal
425,3,Conclusion Specificity,General,trout,plaice,,fish,trout,plaice,,animal
426,3,Conclusion Specificity,General,chameleon,lizard,,reptile,chameleon,lizard,,animal
427,3,Conclusion Specificity,General,vulture,peacock,,bird,vulture,peacock,,animal
428,3,Conclusion Specificity,General,sardine,ray,,fish,sardine,ray,,animal
429,3,Conclusion Specificity,General,wolf,deer,,mammal,wolf,deer,,animal
430,3,Conclusion Specificity,General,cobra,boa,,reptile,cobra,boa,,animal
431,3,Conclusion Specificity,General,cobra,iguana,,reptile,cobra,iguana,,animal
432,3,Conclusion Specificity,General,bumblebee,fly,,insect,bumblebee,fly,,animal
433,3,Conclusion Specificity,General,caiman,cobra,,reptile,caiman,cobra,,animal
434,3,Conclusion Specificity,General,snake,tortoise,,reptile,snake,tortoise,,animal
435,3,Conclusion Specificity,General,cricket,flee,,insect,cricket,flee,,animal
436,3,Conclusion Specificity,General,caterpillar,horsefly,,insect,caterpillar,horsefly,,animal
437,3,Conclusion Specificity,General,moth,flee,,insect,moth,flee,,animal
438,3,Conclusion Specificity,General,toad,monitor lizard,,reptile,toad,monitor lizard,,animal
439,3,Conclusion Specificity,General,dog,wolf,,mammal,dog,wolf,,animal
440,3,Conclusion Specificity,General,turtle,python,,reptile,turtle,python,,animal
441,3,Conclusion Specificity,General,ray,orca,,fish,ray,orca,,animal
442,3,Conclusion Specificity,General,ray,carp,,fish,ray,carp,,animal
443,3,Conclusion Specificity,General,wasp,ant,,insect,wasp,ant,,animal
444,3,Conclusion Specificity,General,swordfish,goldfish,,fish,swordfish,goldfish,,animal
445,3,Conclusion Specificity,General,beetle,fly,,insect,beetle,fly,,animal
446,3,Conclusion Specificity,General,hedgehog,monkey,,mammal,hedgehog,monkey,,animal
447,3,Conclusion Specificity,General,ant,cockchafer,,insect,ant,cockchafer,,animal
448,3,Conclusion Specificity,General,kangaroo,bison,,mammal,kangaroo,bison,,animal
449,3,Conclusion Specificity,General,fruit fly,beetle,,insect,fruit fly,beetle,,animal
450,3,Conclusion Specificity,General,parrot,parakeet,,bird,parrot,parakeet,,animal
451,3,Conclusion Specificity,General,snake,cobra,,reptile,snake,cobra,,animal
452,3,Conclusion Specificity,General,lizard,chameleon,,reptile,lizard,chameleon,,animal
453,3,Conclusion Specificity,General,lion,dromedary,,mammal,lion,dromedary,,animal
454,3,Conclusion Specificity,General,dinosaur,boa,,reptile,dinosaur,boa,,animal
455,3,Conclusion Specificity,General,cockchafer,butterfly,,insect,cockchafer,butterfly,,animal
456,3,Conclusion Specificity,General,cobra,caiman,,reptile,cobra,caiman,,animal
457,3,Conclusion Specificity,General,leech,horsefly,,insect,leech,horsefly,,animal
458,3,Conclusion Specificity,General,dolphin,flatfish,,fish,dolphin,flatfish,,animal
459,3,Conclusion Specificity,General,duck,cuckoo,,bird,duck,cuckoo,,animal
460,3,Conclusion Specificity,General,parakeet,swallow,,bird,parakeet,swallow,,animal
461,3,Conclusion Specificity,General,bison,llama,,mammal,bison,llama,,animal
462,3,Conclusion Specificity,General,tortoise,lizard,,reptile,tortoise,lizard,,animal
463,3,Conclusion Specificity,General,owl,swallow,,bird,owl,swallow,,animal
464,3,Conclusion Specificity,General,eagle,crow,,bird,eagle,crow,,animal
465,3,Conclusion Specificity,General,python,tortoise,,reptile,python,tortoise,,animal
466,3,Conclusion Specificity,General,lion,zebra,,mammal,lion,zebra,,animal
467,3,Conclusion Specificity,General,anchovy,carp,,fish,anchovy,carp,,animal
468,3,Conclusion Specificity,General,trout,anchovy,,fish,trout,anchovy,,animal
469,3,Conclusion Specificity,General,dolphin,sperm whale,,fish,dolphin,sperm whale,,animal
470,3,Conclusion Specificity,General,blindworm,chameleon,,reptile,blindworm,chameleon,,animal
471,3,Conclusion Specificity,General,louse,dragonfly,,insect,louse,dragonfly,,animal
472,3,Conclusion Specificity,General,duck,falcon,,bird,duck,falcon,,animal
473,3,Conclusion Specificity,General,goldfish,plaice,,fish,goldfish,plaice,,animal
474,3,Conclusion Specificity,General,pheasant,woodpecker,,bird,pheasant,woodpecker,,animal
475,3,Conclusion Specificity,General,iguana,cobra,,reptile,iguana,cobra,,animal
476,3,Conclusion Specificity,General,beetle,wasp,,insect,beetle,wasp,,animal
477,3,Conclusion Specificity,General,monkey,wolf,,mammal,monkey,wolf,,animal
478,3,Conclusion Specificity,General,viper,frog,,reptile,viper,frog,,animal
479,3,Conclusion Specificity,General,owl,parrot,,bird,owl,parrot,,animal
480,3,Conclusion Specificity,General,mosquito,wasp,,insect,mosquito,wasp,,animal
481,3,Conclusion Specificity,General,anchovy,sole,,fish,anchovy,sole,,animal
482,3,Conclusion Specificity,General,whale,plaice,,fish,whale,plaice,,animal
483,3,Conclusion Specificity,General,rooster,blackbird,,bird,rooster,blackbird,,animal
484,3,Conclusion Specificity,General,butterfly,leech,,insect,butterfly,leech,,animal
485,3,Conclusion Specificity,General,moth,wood louse,,insect,moth,wood louse,,animal
486,3,Conclusion Specificity,General,parrot,heron,,bird,parrot,heron,,animal
487,3,Conclusion Specificity,General,dove,robin,,bird,dove,robin,,animal
488,3,Conclusion Specificity,General,moth,horsefly,,insect,moth,horsefly,,animal
489,3,Conclusion Specificity,General,iguana,blindworm,,reptile,iguana,blindworm,,animal
490,3,Conclusion Specificity,General,blackbird,canary,,bird,blackbird,canary,,animal
491,3,Conclusion Specificity,General,bumblebee,wasp,,insect,bumblebee,wasp,,animal
492,3,Conclusion Specificity,General,heron,rooster,,bird,heron,rooster,,animal
493,3,Conclusion Specificity,General,cockroach,earwig,,insect,cockroach,earwig,,animal
494,3,Conclusion Specificity,General,caterpillar,fly,,insect,caterpillar,fly,,animal
495,3,Conclusion Specificity,General,bison,cat,,mammal,bison,cat,,animal
496,3,Conclusion Specificity,General,parrot,crow,,bird,parrot,crow,,animal
497,3,Conclusion Specificity,General,frog,caiman,,reptile,frog,caiman,,animal
498,3,Conclusion Specificity,General,dragonfly,wood louse,,insect,dragonfly,wood louse,,animal
499,3,Conclusion Specificity,General,dolphin,pike,,fish,dolphin,pike,,animal
500,3,Conclusion Specificity,General,mosquito,horsefly,,insect,mosquito,horsefly,,animal
501,3,Conclusion Specificity,General,moth,ant,,insect,moth,ant,,animal
502,3,Conclusion Specificity,General,goldfish,cod,,fish,goldfish,cod,,animal
503,3,Conclusion Specificity,General,iguana,chameleon,,reptile,iguana,chameleon,,animal
504,3,Conclusion Specificity,General,dove,parrot,,bird,dove,parrot,,animal
505,3,Conclusion Specificity,General,caiman,alligator,,reptile,caiman,alligator,,animal
506,3,Conclusion Specificity,General,robin,falcon,,bird,robin,falcon,,animal
507,3,Conclusion Specificity,General,bat,cow,,mammal,bat,cow,,animal
508,3,Conclusion Specificity,General,flatfish,sperm whale,,fish,flatfish,sperm whale,,animal
509,3,Conclusion Specificity,General,caiman,salamander,,reptile,caiman,salamander,,animal
510,3,Conclusion Specificity,General,horse,dog,,mammal,horse,dog,,animal
511,3,Conclusion Specificity,General,pheasant,seagull,,bird,pheasant,seagull,,animal
512,3,Conclusion Specificity,General,worm,ant,,insect,worm,ant,,animal
513,3,Conclusion Specificity,General,sperm whale,ray,,fish,sperm whale,ray,,animal
514,3,Conclusion Specificity,General,swordfish,herring,,fish,swordfish,herring,,animal
515,3,Conclusion Specificity,General,bat,tiger,,mammal,bat,tiger,,animal
516,3,Conclusion Specificity,General,cockchafer,horsefly,,insect,cockchafer,horsefly,,animal
517,3,Conclusion Specificity,General,anchovy,ray,,fish,anchovy,ray,,animal
518,3,Conclusion Specificity,General,dinosaur,viper,,reptile,dinosaur,viper,,animal
519,3,Conclusion Specificity,General,squirrel,zebra,,mammal,squirrel,zebra,,animal
520,3,Conclusion Specificity,General,tiger,polar bear,,mammal,tiger,polar bear,,animal
521,3,Conclusion Specificity,General,alligator,blindworm,,reptile,alligator,blindworm,,animal
522,3,Conclusion Specificity,General,swan,seagull,,bird,swan,seagull,,animal
523,3,Conclusion Specificity,General,bison,beaver,,mammal,bison,beaver,,animal
524,3,Conclusion Specificity,General,hamster,kangaroo,,mammal,hamster,kangaroo,,animal
525,3,Conclusion Specificity,General,leech,caterpillar,,insect,leech,caterpillar,,animal
526,3,Conclusion Specificity,General,zebra,hamster,,mammal,zebra,hamster,,animal
527,3,Conclusion Specificity,General,dragonfly,horsefly,,insect,dragonfly,horsefly,,animal
528,3,Conclusion Specificity,General,dragonfly,cockchafer,,insect,dragonfly,cockchafer,,animal
529,3,Conclusion Specificity,General,dragonfly,worm,,insect,dragonfly,worm,,animal
530,3,Conclusion Specificity,General,cobra,toad,,reptile,cobra,toad,,animal
531,3,Conclusion Specificity,General,cod,eel,,fish,cod,eel,,animal
532,3,Conclusion Specificity,General,grasshopper,moth,,insect,grasshopper,moth,,animal
533,3,Conclusion Specificity,General,boa,iguana,,reptile,boa,iguana,,animal
534,3,Conclusion Specificity,General,fly,grasshopper,,insect,fly,grasshopper,,animal
535,3,Conclusion Specificity,General,rooster,parakeet,,bird,rooster,parakeet,,animal
536,3,Conclusion Specificity,General,ostrich,crow,,bird,ostrich,crow,,animal
537,3,Conclusion Specificity,General,earwig,grasshopper,,insect,earwig,grasshopper,,animal
538,3,Conclusion Specificity,General,trout,piranha,,fish,trout,piranha,,animal
539,3,Conclusion Specificity,General,swordfish,ray,,fish,swordfish,ray,,animal
540,3,Conclusion Specificity,General,monkey,bison,,mammal,monkey,bison,,animal
541,3,Conclusion Specificity,General,earwig,bee,,insect,earwig,bee,,animal
542,3,Conclusion Specificity,General,spider,beetle,,insect,spider,beetle,,animal
543,3,Conclusion Specificity,General,stickleback,plaice,,fish,stickleback,plaice,,animal
544,3,Conclusion Specificity,General,worm,wasp,,insect,worm,wasp,,animal
545,3,Conclusion Specificity,General,gecko,lizard,,reptile,gecko,lizard,,animal
546,3,Conclusion Specificity,General,hamster,elephant,,mammal,hamster,elephant,,animal
547,3,Conclusion Specificity,General,peacock,owl,,bird,peacock,owl,,animal
548,3,Conclusion Specificity,General,alligator,tortoise,,reptile,alligator,tortoise,,animal
549,3,Conclusion Specificity,General,cuckoo,crow,,bird,cuckoo,crow,,animal
550,3,Conclusion Specificity,General,goldfish,whale,,fish,goldfish,whale,,animal
551,3,Conclusion Specificity,General,bison,squirrel,,mammal,bison,squirrel,,animal
552,3,Conclusion Specificity,General,hedgehog,polar bear,,mammal,hedgehog,polar bear,,animal
553,3,Conclusion Specificity,General,snake,crocodile,,reptile,snake,crocodile,,animal
554,3,Conclusion Specificity,General,alligator,python,,reptile,alligator,python,,animal
555,3,Conclusion Specificity,General,grasshopper,ant,,insect,grasshopper,ant,,animal
556,3,Conclusion Specificity,General,duck,robin,,bird,duck,robin,,animal
557,3,Conclusion Specificity,General,worm,cockroach,,insect,worm,cockroach,,animal
558,3,Conclusion Specificity,General,herring,shark,,fish,herring,shark,,animal
559,3,Conclusion Specificity,General,frog,viper,,reptile,frog,viper,,animal
560,3,Conclusion Specificity,General,ray,plaice,,fish,ray,plaice,,animal
561,3,Conclusion Specificity,General,anchovy,dolphin,,fish,anchovy,dolphin,,animal
562,3,Conclusion Specificity,General,whale,ray,,fish,whale,ray,,animal
563,3,Conclusion Specificity,General,tiger,kangaroo,,mammal,tiger,kangaroo,,animal
564,3,Conclusion Specificity,General,monitor lizard,snake,,reptile,monitor lizard,snake,,animal
565,3,Conclusion Specificity,General,alligator,crocodile,,reptile,alligator,crocodile,,animal
566,3,Conclusion Specificity,General,ladybug,cockchafer,,insect,ladybug,cockchafer,,animal
567,3,Conclusion Specificity,General,sparrow,seagull,,bird,sparrow,seagull,,animal
568,3,Conclusion Specificity,General,parrot,chickadee,,bird,parrot,chickadee,,animal
569,3,Conclusion Specificity,General,horse,rhinoceros,,mammal,horse,rhinoceros,,animal
570,3,Conclusion Specificity,General,cod,stickleback,,fish,cod,stickleback,,animal
571,3,Conclusion Specificity,General,heron,pheasant,,bird,heron,pheasant,,animal
572,3,Conclusion Specificity,General,kangaroo,donkey,,mammal,kangaroo,donkey,,animal
573,3,Conclusion Specificity,General,mosquito,centipede,,insect,mosquito,centipede,,animal
574,3,Conclusion Specificity,General,moth,fly,,insect,moth,fly,,animal
575,3,Conclusion Specificity,General,sheep,horse,,mammal,sheep,horse,,animal
576,3,Conclusion Specificity,General,sparrow,heron,,bird,sparrow,heron,,animal
577,3,Conclusion Specificity,General,cuckoo,rooster,,bird,cuckoo,rooster,,animal
578,3,Conclusion Specificity,General,python,toad,,reptile,python,toad,,animal
579,3,Conclusion Specificity,General,kangaroo,bat,,mammal,kangaroo,bat,,animal
580,3,Conclusion Specificity,General,iguana,salamander,,reptile,iguana,salamander,,animal
581,3,Conclusion Specificity,General,heron,duck,,bird,heron,duck,,animal
582,3,Conclusion Specificity,General,flee,horsefly,,insect,flee,horsefly,,animal
583,3,Conclusion Specificity,General,sperm whale,carp,,fish,sperm whale,carp,,animal
584,3,Conclusion Specificity,General,caterpillar,louse,,insect,caterpillar,louse,,animal
585,3,Conclusion Specificity,General,dolphin,salmon,,fish,dolphin,salmon,,animal
586,3,Conclusion Specificity,General,alligator,turtle,,reptile,alligator,turtle,,animal
587,3,Conclusion Specificity,General,woodpecker,swallow,,bird,woodpecker,swallow,,animal
588,3,Conclusion Specificity,General,pheasant,swan,,bird,pheasant,swan,,animal
589,3,Conclusion Specificity,General,cricket,earwig,,insect,cricket,earwig,,animal
590,3,Conclusion Specificity,General,cobra,chameleon,,reptile,cobra,chameleon,,animal
591,3,Conclusion Specificity,General,orca,piranha,,fish,orca,piranha,,animal
592,3,Conclusion Specificity,General,cricket,mosquito,,insect,cricket,mosquito,,animal
593,3,Conclusion Specificity,General,plaice,sole,,fish,plaice,sole,,animal
594,3,Conclusion Specificity,General,lizard,gecko,,reptile,lizard,gecko,,animal
595,3,Conclusion Specificity,General,frog,monitor lizard,,reptile,frog,monitor lizard,,animal
596,3,Conclusion Specificity,General,woodpecker,seagull,,bird,woodpecker,seagull,,animal
597,3,Conclusion Specificity,General,carp,ray,,fish,carp,ray,,animal
598,3,Conclusion Specificity,General,squid,piranha,,fish,squid,piranha,,animal
599,3,Conclusion Specificity,General,lizard,cobra,,reptile,lizard,cobra,,animal
600,4,Premise Monotonicity,General,monitor lizard,crocodile,cobra,reptile,monitor lizard,crocodile,,reptile
601,4,Premise Monotonicity,General,blindworm,crocodile,viper,reptile,blindworm,crocodile,,reptile
602,4,Premise Monotonicity,General,toad,crocodile,cobra,reptile,toad,crocodile,,reptile
603,4,Premise Monotonicity,General,robin,blackbird,turkey,bird,robin,blackbird,,bird
604,4,Premise Monotonicity,General,blindworm,boa,crocodile,reptile,blindworm,boa,,reptile
605,4,Premise Monotonicity,General,crocodile,blindworm,cobra,reptile,crocodile,blindworm,,reptile
606,4,Premise Monotonicity,General,alligator,lizard,snake,reptile,alligator,lizard,,reptile
607,4,Premise Monotonicity,General,alligator,gecko,cobra,reptile,alligator,gecko,,reptile
608,4,Premise Monotonicity,General,toad,alligator,boa,reptile,toad,alligator,,reptile
609,4,Premise Monotonicity,General,alligator,gecko,python,reptile,alligator,gecko,,reptile
610,4,Premise Monotonicity,General,crocodile,tortoise,viper,reptile,crocodile,tortoise,,reptile
611,4,Premise Monotonicity,General,gecko,cobra,iguana,reptile,gecko,cobra,,reptile
612,4,Premise Monotonicity,General,tortoise,alligator,boa,reptile,tortoise,alligator,,reptile
613,4,Premise Monotonicity,General,alligator,chameleon,boa,reptile,alligator,chameleon,,reptile
614,4,Premise Monotonicity,General,crocodile,frog,viper,reptile,crocodile,frog,,reptile
615,4,Premise Monotonicity,General,turkey,penguin,robin,bird,turkey,penguin,,bird
616,4,Premise Monotonicity,General,turtle,alligator,python,reptile,turtle,alligator,,reptile
617,4,Premise Monotonicity,General,turtle,alligator,cobra,reptile,turtle,alligator,,reptile
618,4,Premise Monotonicity,General,crocodile,lizard,boa,reptile,crocodile,lizard,,reptile
619,4,Premise Monotonicity,General,flatfish,sole,whale,fish,flatfish,sole,,fish
620,4,Premise Monotonicity,General,alligator,frog,python,reptile,alligator,frog,,reptile
621,4,Premise Monotonicity,General,frog,alligator,python,reptile,frog,alligator,,reptile
622,4,Premise Monotonicity,General,sardine,sole,whale,fish,sardine,sole,,fish
623,4,Premise Monotonicity,General,gecko,iguana,viper,reptile,gecko,iguana,,reptile
624,4,Premise Monotonicity,General,iguana,dinosaur,viper,reptile,iguana,dinosaur,,reptile
625,4,Premise Monotonicity,General,python,snake,alligator,reptile,python,snake,,reptile
626,4,Premise Monotonicity,General,iguana,turtle,viper,reptile,iguana,turtle,,reptile
627,4,Premise Monotonicity,General,alligator,dinosaur,cobra,reptile,alligator,dinosaur,,reptile
628,4,Premise Monotonicity,General,boa,snake,alligator,reptile,boa,snake,,reptile
629,4,Premise Monotonicity,General,alligator,caiman,python,reptile,alligator,caiman,,reptile
630,4,Premise Monotonicity,General,crocodile,alligator,cobra,reptile,crocodile,alligator,,reptile
631,4,Premise Monotonicity,General,chicken,ostrich,sparrow,bird,chicken,ostrich,,bird
632,4,Premise Monotonicity,General,ostrich,chicken,sparrow,bird,ostrich,chicken,,bird
633,4,Premise Monotonicity,General,boa,gecko,iguana,reptile,boa,gecko,,reptile
634,4,Premise Monotonicity,General,crocodile,alligator,python,reptile,crocodile,alligator,,reptile
635,4,Premise Monotonicity,General,iguana,blindworm,viper,reptile,iguana,blindworm,,reptile
636,4,Premise Monotonicity,General,blindworm,iguana,viper,reptile,blindworm,iguana,,reptile
637,4,Premise Monotonicity,General,alligator,gecko,viper,reptile,alligator,gecko,,reptile
638,4,Premise Monotonicity,General,eel,flatfish,orca,fish,eel,flatfish,,fish
639,4,Premise Monotonicity,General,squid,orca,plaice,fish,squid,orca,,fish
640,4,Premise Monotonicity,General,anchovy,salmon,whale,fish,anchovy,salmon,,fish
641,4,Premise Monotonicity,General,cobra,monitor lizard,iguana,reptile,cobra,monitor lizard,,reptile
642,4,Premise Monotonicity,General,salamander,caiman,boa,reptile,salamander,caiman,,reptile
643,4,Premise Monotonicity,General,flatfish,goldfish,orca,fish,flatfish,goldfish,,fish
644,4,Premise Monotonicity,General,heron,ostrich,parakeet,bird,heron,ostrich,,bird
645,4,Premise Monotonicity,General,salamander,dinosaur,boa,reptile,salamander,dinosaur,,reptile
646,4,Premise Monotonicity,General,ray,anchovy,orca,fish,ray,anchovy,,fish
647,4,Premise Monotonicity,General,snake,turtle,salamander,reptile,snake,turtle,,reptile
648,4,Premise Monotonicity,General,flatfish,piranha,orca,fish,flatfish,piranha,,fish
649,4,Premise Monotonicity,General,turkey,chicken,sparrow,bird,turkey,chicken,,bird
650,4,Premise Monotonicity,General,sardine,salmon,whale,fish,sardine,salmon,,fish
651,4,Premise Monotonicity,General,sole,piranha,whale,fish,sole,piranha,,fish
652,4,Premise Monotonicity,General,pelican,turkey,robin,bird,pelican,turkey,,bird
653,4,Premise Monotonicity,General,squid,flatfish,orca,fish,squid,flatfish,,fish
654,4,Premise Monotonicity,General,turkey,swan,parakeet,bird,turkey,swan,,bird
655,4,Premise Monotonicity,General,eel,herring,orca,fish,eel,herring,,fish
656,4,Premise Monotonicity,General,salamander,chameleon,boa,reptile,salamander,chameleon,,reptile
657,4,Premise Monotonicity,General,frog,salamander,boa,reptile,frog,salamander,,reptile
658,4,Premise Monotonicity,General,cod,sole,whale,fish,cod,sole,,fish
659,4,Premise Monotonicity,General,salmon,sole,whale,fish,salmon,sole,,fish
660,4,Premise Monotonicity,General,salamander,iguana,boa,reptile,salamander,iguana,,reptile
661,4,Premise Monotonicity,General,penguin,chicken,heron,bird,penguin,chicken,,bird
662,4,Premise Monotonicity,General,heron,penguin,canary,bird,heron,penguin,,bird
663,4,Premise Monotonicity,General,salmon,ray,orca,fish,salmon,ray,,fish
664,4,Premise Monotonicity,General,plaice,salmon,whale,fish,plaice,salmon,,fish
665,4,Premise Monotonicity,General,alligator,dinosaur,viper,reptile,alligator,dinosaur,,reptile
666,4,Premise Monotonicity,General,alligator,toad,viper,reptile,alligator,toad,,reptile
667,4,Premise Monotonicity,General,stickleback,sole,orca,fish,stickleback,sole,,fish
668,4,Premise Monotonicity,General,gecko,lizard,python,reptile,gecko,lizard,,reptile
669,4,Premise Monotonicity,General,crocodile,alligator,viper,reptile,crocodile,alligator,,reptile
670,4,Premise Monotonicity,General,caiman,lizard,python,reptile,caiman,lizard,,reptile
671,4,Premise Monotonicity,General,sperm whale,whale,plaice,fish,sperm whale,whale,,fish
672,4,Premise Monotonicity,General,anchovy,carp,whale,fish,anchovy,carp,,fish
673,4,Premise Monotonicity,General,lizard,alligator,boa,reptile,lizard,alligator,,reptile
674,4,Premise Monotonicity,General,cod,sardine,whale,fish,cod,sardine,,fish
675,4,Premise Monotonicity,General,squid,herring,orca,fish,squid,herring,,fish
676,4,Premise Monotonicity,General,boa,blindworm,iguana,reptile,boa,blindworm,,reptile
677,4,Premise Monotonicity,General,cod,flatfish,whale,fish,cod,flatfish,,fish
678,4,Premise Monotonicity,General,squid,stickleback,orca,fish,squid,stickleback,,fish
679,4,Premise Monotonicity,General,whale,squid,sardine,fish,whale,squid,,fish
680,4,Premise Monotonicity,General,penguin,rooster,canary,bird,penguin,rooster,,bird
681,4,Premise Monotonicity,General,canary,penguin,stork,bird,canary,penguin,,bird
682,4,Premise Monotonicity,General,lizard,toad,cobra,reptile,lizard,toad,,reptile
683,4,Premise Monotonicity,General,toad,lizard,cobra,reptile,toad,lizard,,reptile
684,4,Premise Monotonicity,General,chameleon,lizard,cobra,reptile,chameleon,lizard,,reptile
685,4,Premise Monotonicity,General,pheasant,duck,sparrow,bird,pheasant,duck,,bird
686,4,Premise Monotonicity,General,python,toad,iguana,reptile,python,toad,,reptile
687,4,Premise Monotonicity,General,squid,whale,plaice,fish,squid,whale,,fish
688,4,Premise Monotonicity,General,python,frog,crocodile,reptile,python,frog,,reptile
689,4,Premise Monotonicity,General,frog,python,crocodile,reptile,frog,python,,reptile
690,4,Premise Monotonicity,General,turkey,chicken,blackbird,bird,turkey,chicken,,bird
691,4,Premise Monotonicity,General,crow,canary,turkey,bird,crow,canary,,bird
692,4,Premise Monotonicity,General,duck,ostrich,canary,bird,duck,ostrich,,bird
693,4,Premise Monotonicity,General,penguin,chicken,crow,bird,penguin,chicken,,bird
694,4,Premise Monotonicity,General,sperm whale,orca,sardine,fish,sperm whale,orca,,fish
695,4,Premise Monotonicity,General,cobra,python,chameleon,reptile,cobra,python,,reptile
696,4,Premise Monotonicity,General,alligator,chameleon,viper,reptile,alligator,chameleon,,reptile
697,4,Premise Monotonicity,General,butterfly,bumblebee,beetle,insect,butterfly,bumblebee,,insect
698,4,Premise Monotonicity,General,alligator,turtle,viper,reptile,alligator,turtle,,reptile
699,4,Premise Monotonicity,General,tortoise,alligator,viper,reptile,tortoise,alligator,,reptile
700,4,Premise Monotonicity,General,tortoise,snake,crocodile,reptile,tortoise,snake,,reptile
701,4,Premise Monotonicity,General,carp,cod,whale,fish,carp,cod,,fish
702,4,Premise Monotonicity,General,whale,orca,plaice,fish,whale,orca,,fish
703,4,Premise Monotonicity,General,turkey,eagle,robin,bird,turkey,eagle,,bird
704,4,Premise Monotonicity,General,carp,sole,orca,fish,carp,sole,,fish
705,4,Premise Monotonicity,General,ostrich,falcon,sparrow,bird,ostrich,falcon,,bird
706,4,Premise Monotonicity,General,robin,blackbird,pheasant,bird,robin,blackbird,,bird
707,4,Premise Monotonicity,General,salmon,stickleback,whale,fish,salmon,stickleback,,fish
708,4,Premise Monotonicity,General,salmon,trout,orca,fish,salmon,trout,,fish
709,4,Premise Monotonicity,General,blindworm,salamander,viper,reptile,blindworm,salamander,,reptile
710,4,Premise Monotonicity,General,salamander,blindworm,viper,reptile,salamander,blindworm,,reptile
711,4,Premise Monotonicity,General,bumblebee,horsefly,beetle,insect,bumblebee,horsefly,,insect
712,4,Premise Monotonicity,General,dolphin,shark,sardine,fish,dolphin,shark,,fish
713,4,Premise Monotonicity,General,worm,bumblebee,beetle,insect,worm,bumblebee,,insect
714,4,Premise Monotonicity,General,flatfish,trout,whale,fish,flatfish,trout,,fish
715,4,Premise Monotonicity,General,bumblebee,flee,beetle,insect,bumblebee,flee,,insect
716,4,Premise Monotonicity,General,chicken,pelican,blackbird,bird,chicken,pelican,,bird
717,4,Premise Monotonicity,General,carp,eel,orca,fish,carp,eel,,fish
718,4,Premise Monotonicity,General,carp,stickleback,orca,fish,carp,stickleback,,fish
